BRIDGE NAME,EASTING,NORTHING,OWNER
PETER TAVY,251383,77617,Devon County Council
PIALL,259608,60461,Devon County Council
POPPLE'S,259830,54306,Devon County Council
PUSLINCH BRIDGE,257079,50988,Devon County Council
PUSLINCH ADJACENT,257082,51038,Devon County Council
QUICK,259100,60814,Devon County Council
SADDLE,266441,71933,Devon County Council
SHAUGH,253278,63672,Devon County Council
WALKHAMPTON,253311,69686,Devon County Council
WAPPLEWELL,254009,52133,Devon County Council
WELLTOWN,249263,63712,Devon County Council
WHITCHURCH,248957,72555,Devon County Council
WISDOME BRIDGE,261426,60344,Devon County Council
YELVERTON,252193,67719,Devon County Council
YOULDEN,253168,80339,Devon County Council
BELLEVER,265843,77339,Devon County Council
BERRATOR FARM,248001,68605,Devon County Council
BICKLEIGH RAILWAY,252579,61949,Devon County Council
BOTTLE HILL,256694,58702,Devon County Council
BURRATOR LODGE,255085,68794,Devon County Council
CANAL,248003,74190,Devon County Council
CATSBRIDGE,241889,75469,Devon County Council
COFFLETE,254110,51720,Devon County Council
COLDHARBOUR,258972,48997,Devon County Council
COLLYTON,256244,67517,Devon County Council
CROSS GATE (WEST),256134,69494,Devon County Council
CROSS GATE (EAST),256420,69527,Devon County Council
CUMEREW,250258,66998,Devon County Council
EGGWORTHY,254448,71688,Devon County Council
FAIRTOWN,248151,68538,Devon County Council
FURZEACRE,255951,57761,Devon County Council
GOODAMEAVY,252910,64622,Devon County Council
GORLOFEN,256814,52655,Devon County Council
GRENOFEN,249008,70975,Devon County Council
GRENOVEN,241396,74378,Devon County Council
HIGHER MEAVY BRIDGE,254617,66990,Devon County Council
HORNDON BRIDGE,252285,79523,Devon County Council
IVY COTTAGE,264105,54062,Devon County Council
LAMERTON,245157,76884,Devon County Council
LAZY BENCH HILL,246479,71341,Devon County Council
LOPWELL,247378,64871,Devon County Council
LOTHERTON BRIDGE,259594,53874,Devon County Council
LOTHERTON (NEW),259553,53881,Devon County Council
LOVATON,254260,66386,Devon County Council
LOWER LAKE,253031,67567,Devon County Council
LOWER LOWERY LEAT BRIDGE,255721,69400,Devon County Council
LOWER QUARRY,251747,73736,Devon County Council
LOWERY ROAD LEAT BRIDGE,255277,69191,Devon County Council
LUMBURN BRIDGE,245285,74673,Devon County Council
MARY TAVY,250762,78896,Devon County Council
MILTONCOMBE,248893,66080,Devon County Council
MINES,250565,79405,Devon County Council
MOOR CROSS,260823,58762,Devon County Council
MOUNT CLOG,253251,63436,Devon County Council
NORSWORTHY BRIDGE,256773,69383,Devon County Council
PENQUIT MILL,264866,53492,Devon County Council
PETER HOPPERS BRIDGE,247441,62804,Devon County Council
PORTLAND LANE,255926,67600,Devon County Council
PORTWORTHY,255639,60070,Devon County Council
QUARRY,249172,75486,Devon County Council
ROBOROUGH DOWN LANE,251477,64705,Devon County Council
Harewood Bridge,245019,67803,Devon County Council
LOWER GAWTON BRIDGE,245447,68174,Devon County Council
SANDPARK WOOD MILL LEAT,259292,52707,Devon County Council
SHAUGH PRIOR,254162,62956,Devon County Council
SHERBERTON BRIDGE,264684,73133,Devon County Council
SHILLAMILL BRIDGE,246651,71947,Devon County Council
SLADE BRIDGE,259975,58809,Devon County Council
STEPS FOOTBRIDGE,259401,52698,Devon County Council
STERT BRIDGE,259969,57660,Devon County Council
TANNERS,249854,66135,Devon County Council
TATTS,247806,73056,Devon County Council
TRUELOVE,254909,60617,Devon County Council
TUCKERMARSH ROAD BRIDGE (RUMLEIGH ROAD),244757,67428,Devon County Council
WALLABROOK,247660,78245,Devon County Council
WAPSWORTHY,253726,80318,Devon County Council
WARD BRIDGE,254198,72015,Devon County Council
WHIMINGTON BRIDGE,252434,71336,Devon County Council
WHITCHURCH DOWN,250881,74145,Devon County Council
WHITEWORKS,260905,70814,Devon County Council
